Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Golden Gardens Park,47.686852,-122.40345400000001,El Camión,47.67873972132501,-122.37680393379416,Food Truck
Golden Gardens Park,47.686852,-122.40345400000001,Taki's Mad Greek,47.691775531704955,-122.37706966988854,Greek Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Delancey,47.67954593341448,-122.37476960718206,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Wild Mountain Cafe,47.69077875358802,-122.37455876932466,American Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,8oz Burger & Co.,47.66860137419473,-122.38819226582079,Burger Joint
Golden Gardens Park,47.686852,-122.40345400000001,Kimchi House,47.67137242571149,-122.38776305505162,Korean Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Tall Grass Bakery,47.671982269727195,-122.38769017869045,Bakery
Golden Gardens Park,47.686852,-122.40345400000001,La Carta De Oaxaca,47.6681689403781,-122.38576711568744,Mexican Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Thai Siam Restaurant,47.688729826242344,-122.37683628845578,Thai Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Ocho,47.66858851536586,-122.38744605331455,Tapas Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,The Fat Hen,47.67959362101355,-122.37453550782013,Breakfast Spot
Golden Gardens Park,47.686852,-122.40345400000001,Rosellini's,47.67952480918485,-122.37472955938681,Bakery
Golden Gardens Park,47.686852,-122.40345400000001,Scooter's Burgers,47.67109735420752,-122.38739128746657,Burger Joint
Golden Gardens Park,47.686852,-122.40345400000001,Pink Bee,47.669632,-122.382668,Thai Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Scandinavian Specialties,47.67819841284109,-122.3768823771262,Scandinavian Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Gather Kitchen + Bar,47.669722972367396,-122.38491065982053,New American Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Tandoozy,47.6749881238462,-122.38143796484752,Food Truck
Golden Gardens Park,47.686852,-122.40345400000001,Pestle Rock,47.66853238288658,-122.38661516925326,Thai Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Crown Hill Broiler,47.687647,-122.377145,Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,La Isla,47.668810967440976,-122.38713600824516,Latin American Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Hood Famous Bakeshop,47.668451481146164,-122.38737906068135,Bakery
Golden Gardens Park,47.686852,-122.40345400000001,Little Coney,47.68661739667288,-122.40315462351757,American Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Viet Nam Restaurant,47.68074174164696,-122.3765923409503,Vietnamese Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Portage Bay Cafe & Catering,47.668574253388805,-122.39428793355201,Breakfast Spot
Golden Gardens Park,47.686852,-122.40345400000001,Kasbah Authentic Moroccan Restaurant,47.690435847444284,-122.37560362401717,Moroccan Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Cocina Esperanza,47.69044689758142,-122.39799175302446,Mexican Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Li'l Woody's,47.66877140612772,-122.3838523897206,Burger Joint
Golden Gardens Park,47.686852,-122.40345400000001,India Bistro,47.66859730889656,-122.38641400658142,Indian Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,The Matador,47.66861736792765,-122.38585704143311,Mexican Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,El Taco Loco,47.6868573864075,-122.37678172711637,Food Truck
Golden Gardens Park,47.686852,-122.40345400000001,Mae Ploy Thai Cuisine,47.67575580800507,-122.37644299115809,Thai Restaurant
Golden Gardens Park,47.686852,-122.40345400000001,Soprano's Pizza & Pasta,47.68594818194729,-122.38779099882282,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Papa John's Pizza,47.694423,-122.375077,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Pizza Hut,47.691438,-122.37712,Pizza Place
Golden Gardens Park,47.686852,-122.40345400000001,Restaurante Michoacan,47.68916371617499,-122.37726149181783,Mexican Restaurant
